TreeID,qSpecies,qAddress,SiteOrder,qSiteInfo,PlantType,PlantDate,Plan,Age,DBH,latitude,longitude
141565,Myoporum laetum :: Myoporum,501X Baker St,1,Sidewalk: Curb side : Cutout,Tree,1988-07-21 00:00,1988,29,21,37.77596769,-122.4413967
232565,Metrosideros excelsa :: New Zealand Xmas Tree,940 Elizabeth St,1,Sidewalk: Curb side : Yard,Tree,2017-03-20 00:00,2017,0,3,37.75171022,-122.441498
119263,Pinus radiata :: Monterey Pine,495X Lakeshore Dr,1,Median : Yard,Tree,,,,,,
207368,Ligustrum japonicum :: Japanese Privet,920 Kirkham St,1,Sidewalk: Curb side : Cutout,Tree,,,,6,37.76021031,-122.4707394
188702,Acacia melanoxylon :: Blackwood Acacia,1501 Evans Ave,2,:,Tree,,,,17,37.74220867,-122.3872932
141566,Myoporum laetum :: Myoporum,501X Baker St,2,Sidewalk: Curb side : Cutout,Tree,,,,14,37.77570453,-122.4414629
188697,Acacia melanoxylon :: Blackwood Acacia,1301 Evans Ave,13,:,Tree,,,,15,37.73973386,-122.3829339
122650,Acer rubrum :: Red Maple,300x Hickory St,6,Sidewalk: Curb side : Cutout,Tree,2016-11-10 00:00,2016,1,3,,
203507,Agonis flexuosa :: Peppermint Willow,920 Kirkham St,2,Sidewalk: Curb side : Cutout,Tree,,,,23,37.76018051,-122.4708661
122670,Lyonothamnus floribundus subsp. asplenifolius :: Santa Cruz Ironwood,301x Hickory St,3,Sidewalk: Curb side : Cutout,Tree,2016-11-10 00:00,2016,1,3,,
122658,Acer rubrum :: Red Maple,300x Hickory St,14,Sidewalk: Curb side : Cutout,Tree,2016-11-10 00:00,2016,1,3,,
122660,Acer rubrum :: Red Maple,300x Hickory St,16,Sidewalk: Curb side : Cutout,Tree,2016-11-10 00:00,2016,1,3,,
122648,Acer rubrum :: Red Maple,300x Hickory St,4,Sidewalk: Curb side : Cutout,Tree,2016-11-10 00:00,2016,1,3,,
196590,Pyrus calleryana :: Ornamental Pear,43 Lafayette St,2,:,Tree,,,,10,37.77303718,-122.4172458
196591,Pyrus calleryana :: Ornamental Pear,43 Lafayette St,3,:,Tree,,,,13,37.77305251,-122.4172809
122649,Acer rubrum :: Red Maple,300x Hickory St,5,Sidewalk: Curb side : Cutout,Tree,2016-11-10 00:00,2016,1,3,,
145278,Fraxinus uhdei :: Shamel Ash: Evergreen Ash,730 11th Ave,1,Sidewalk: Curb side : Cutout,Tree,2017-03-20 00:00,2017,0,0,37.77448101,-122.4691091
96369,Lophostemon confertus :: Brisbane Box,168 Cervantes Blvd,1,Sidewalk: Curb side : Cutout,Tree,2011-08-09 00:00,2011,6,24,37.80468521,-122.4402315
182260,Arbutus 'Marina' :: Hybrid Strawberry Tree,1471 28th Ave,1,Sidewalk: Curb side : Cutout,Tree,,,,5,37.75995923,-122.4866885
251179,Podocarpus gracilor :: Fern Pine,1043 Minna St,2,Sidewalk: Property side : Cutout,Tree,,,,,37.77353367,-122.4169045
251178,Podocarpus gracilor :: Fern Pine,1043 Minna St,1,Sidewalk: Property side : Cutout,Tree,,,,,37.77353367,-122.4169045
203506,Agonis flexuosa :: Peppermint Willow,910 Kirkham St,4,Sidewalk: Curb side : Cutout,Tree,,,,15,37.76026555,-122.4705695
52566,Hakea suaveolens :: Sweet Hakea Tree,1555 40th Ave,1,Sidewalk: Curb side : Cutout,Tree,2016-01-12 00:00,2016,1,2,37.75778273,-122.4993677
22346,Lophostemon confertus :: Brisbane Box,5280 03rd St,1,Sidewalk: Curb side : Cutout,Tree,2014-06-27 00:00,2014,3,3,37.72954822,-122.3926894
23567,Platanus x hispanica :: Sycamore: London Plane,2975 Van Ness Ave,1,Sidewalk: Curb side : Cutout,Tree,1992-05-27 00:00,1992,25,3,37.80304673,-122.4250636
237469,Prunus cerasifera :: Cherry Plum,4200 23rd St,1,Sidewalk: Curb side : Cutout,Tree,2000-07-17 00:00,2000,17,0,37.7528239,-122.4366208
244214,Tree(s) ::,342 Scott St,1,Sidewalk: Curb side : Yard,Tree,2017-03-20 00:00,2017,0,3,37.77300994,-122.4355982
21823,Platanus x hispanica :: Sycamore: London Plane,2741 Taylor St,1,Sidewalk: Curb side : Cutout,Tree,2006-08-19 00:00,2006,11,3,37.80797069,-122.4158502
188686,Acacia melanoxylon :: Blackwood Acacia,1300 Evans Ave,20,:,Tree,,,,12,37.73901484,-122.381104
196592,Pyrus calleryana :: Ornamental Pear,43 Lafayette St,4,:,Tree,,,,8,37.77310137,-122.4173585
22614,Acacia melanoxylon :: Blackwood Acacia,1001 Turk St,5,Sidewalk: Curb side : Cutout,Tree,,,,24,37.78136501,-122.4248636
10933,Lophostemon confertus :: Brisbane Box,1359 Hudson Ave,1,Sidewalk: Curb side : Cutout,Tree,,,,12,37.73743182,-122.3840631
2889,Platanus x hispanica :: Sycamore: London Plane,1545 California St,1,Sidewalk: Curb side : Cutout,Tree,,,,65,37.79059396,-122.4198251
240126,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,20 Lily St,2,Sidewalk: Curb side : Cutout,Tree,,,,4,37.77473647,-122.4213262
183515,Myoporum laetum :: Myoporum,2562 26th Ave,1,Sidewalk: Curb side : Yard,Tree,2017-03-21 00:00,2017,0,3,37.73970633,-122.4828998
13434,Platanus x hispanica :: Sycamore: London Plane,2X Market St,2,Sidewalk: Curb side : Cutout,Tree,,,,6,37.79448363,-122.3950546
226924,Juniperus chinensis :: Juniper,1 Newburg St,1,Sidewalk: Property side : Pot,Tree,,,,11,37.74625595,-122.4338758
192589,Lophostemon confertus :: Brisbane Box,1390 Mission St,1,Sidewalk: Curb side : Cutout,Tree,,,,4,37.7755405,-122.4157935
3558,Lophostemon confertus :: Brisbane Box,101 Cargo Way,4,Sidewalk: Curb side : Cutout,Tree,2017-03-21 17:52,2017,0,6,37.74050235,-122.3776366
222540,Callistemon viminalis :: Weeping Bottlebrush,1 Newburg St,3,Sidewalk: Curb side : Cutout,Tree,,,,6,37.74632546,-122.4338277
192590,Lophostemon confertus :: Brisbane Box,1390 Mission St,2,Sidewalk: Curb side : Cutout,Tree,,,,4,37.7755405,-122.4157935
28375,Magnolia grandiflora :: Southern Magnolia,3014 Sacramento St,1,Sidewalk: Curb side : Cutout,Tree,2003-10-09 00:00,2003,14,3,37.78875791,-122.4429785
222539,Callistemon viminalis :: Weeping Bottlebrush,1 Newburg St,2,Sidewalk: Curb side : Cutout,Tree,,,,6,37.74630146,-122.4338571
226925,Juniperus chinensis :: Juniper,1 Newburg St,2,Sidewalk: Property side : Pot,Tree,,,,19,37.74628109,-122.4338516
27522,Metrosideros excelsa :: New Zealand Xmas Tree,3201 California St,2,Sidewalk: Curb side : Cutout,Tree,,,,8,37.78709954,-122.4473685
18228,Maytenus boaria :: Mayten,1737-1795 Post St,2,Sidewalk: Curb side : Cutout,Tree,2004-04-09 00:00,2004,13,12,37.78534132,-122.431005
17325,Fraxinus americana :: American Ash,150 Otis St,1,Sidewalk: Curb side : Cutout,Tree,2016-08-31 00:00,2016,1,3,37.77095437,-122.4203558
3528,Lophostemon confertus :: Brisbane Box,201X Cargo Way,38,Sidewalk: Curb side : Cutout,Tree,2017-03-21 16:23,2017,0,3,37.74144532,-122.3793046
251186,Juniperus chinensis :: Juniper,3042 Steiner St,1,Sidewalk: Property side : Cutout,Tree,,,,,37.79753285,-122.4371106
138938,Tree(s) ::,632 HAYES ST,1,Sidewalk: Curb side : Yard,Tree,2017-03-21 00:00,2017,0,3,37.77646121,-122.4269126
60867,Tree(s) ::,,1,Sidewalk: Curb side : Cutout,Tree,1983-04-25 00:00,1983,34,,,
233897,Araucaria heterophylla :: Norfolk Island Pine,1021 Noe St,1,Sidewalk: Curb side : Cutout,Tree,,,,9,37.75266993,-122.4318862
251187,Schinus terebinthifolius :: Brazilian Pepper,1 Baker St,2,Sidewalk: Curb side : Cutout,Tree,,,,,37.77112958,-122.4406092
121137,Pittosporum undulatum :: Victorian Box,1388x Minna St,1,Sidewalk: Curb side : Cutout,Tree,2016-09-08 00:00,2016,1,3,,
2909,Platanus x hispanica :: Sycamore: London Plane,1700 California St,5,Sidewalk: Curb side : Cutout,Tree,,,,30,37.79038763,-122.4229834
27602,Pittosporum undulatum :: Victorian Box,988 Fulton St,2,Sidewalk: Curb side : Cutout,Tree,,,,20,37.77766599,-122.4324106
